,Geography,Geographic Area Name,language,lep_pct,moe_lep_pct_65_plus
0,0500000US24001,"Allegany County, Maryland",lep_pct_over_5,1.0,0.3
1,0500000US24003,"Anne Arundel County, Maryland",lep_pct_over_5,4.5,0.3
2,0500000US24005,"Baltimore County, Maryland",lep_pct_over_5,5.5,0.3
3,0500000US24009,"Calvert County, Maryland",lep_pct_over_5,1.5,0.5
4,0500000US24011,"Caroline County, Maryland",lep_pct_over_5,4.4,0.5
5,0500000US24013,"Carroll County, Maryland",lep_pct_over_5,1.9,0.3
6,0500000US24015,"Cecil County, Maryland",lep_pct_over_5,2.3,0.6
7,0500000US24017,"Charles County, Maryland",lep_pct_over_5,3.0,0.4
8,0500000US24019,"Dorchester County, Maryland",lep_pct_over_5,2.7,0.8
9,0500000US24021,"Frederick County, Maryland",lep_pct_over_5,5.6,0.4
10,0500000US24023,"Garrett County, Maryland",lep_pct_over_5,0.4,0.2
11,0500000US24025,"Harford County, Maryland",lep_pct_over_5,2.5,0.3
12,0500000US24027,"Howard County, Maryland",lep_pct_over_5,8.8,0.6
13,0500000US24029,"Kent County, Maryland",lep_pct_over_5,1.4,0.8
14,0500000US24031,"Montgomery County, Maryland",lep_pct_over_5,15.8,0.3
15,0500000US24033,"Prince George's County, Maryland",lep_pct_over_5,14.6,0.3
16,0500000US24035,"Queen Anne's County, Maryland",lep_pct_over_5,2.1,0.5
17,0500000US24037,"St. Mary's County, Maryland",lep_pct_over_5,2.6,0.7
18,0500000US24039,"Somerset County, Maryland",lep_pct_over_5,2.8,1.9
19,0500000US24041,"Talbot County, Maryland",lep_pct_over_5,4.5,1.0
20,0500000US24043,"Washington County, Maryland",lep_pct_over_5,3.3,0.5
21,0500000US24045,"Wicomico County, Maryland",lep_pct_over_5,6.5,1.1
22,0500000US24047,"Worcester County, Maryland",lep_pct_over_5,1.7,0.5
23,0500000US24510,"Baltimore city, Maryland",lep_pct_over_5,4.5,0.3
24,0500000US24001,"Allegany County, Maryland",lep_pct_spanish,34.8,12.2
25,0500000US24003,"Anne Arundel County, Maryland",lep_pct_spanish,37.6,3.0
26,0500000US24005,"Baltimore County, Maryland",lep_pct_spanish,39.8,3.3
27,0500000US24009,"Calvert County, Maryland",lep_pct_spanish,27.6,11.4
28,0500000US24011,"Caroline County, Maryland",lep_pct_spanish,58.2,6.9
29,0500000US24013,"Carroll County, Maryland",lep_pct_spanish,32.4,5.5
30,0500000US24015,"Cecil County, Maryland",lep_pct_spanish,29.0,9.4
31,0500000US24017,"Charles County, Maryland",lep_pct_spanish,35.9,6.0
32,0500000US24019,"Dorchester County, Maryland",lep_pct_spanish,46.9,11.9
33,0500000US24021,"Frederick County, Maryland",lep_pct_spanish,37.1,3.2
34,0500000US24023,"Garrett County, Maryland",lep_pct_spanish,30.8,18.2
35,0500000US24025,"Harford County, Maryland",lep_pct_spanish,37.0,5.8
36,0500000US24027,"Howard County, Maryland",lep_pct_spanish,39.6,4.3
37,0500000US24029,"Kent County, Maryland",lep_pct_spanish,29.5,15.0
38,0500000US24031,"Montgomery County, Maryland",lep_pct_spanish,43.4,1.2
39,0500000US24033,"Prince George's County, Maryland",lep_pct_spanish,57.4,1.3
40,0500000US24035,"Queen Anne's County, Maryland",lep_pct_spanish,44.2,10.3
41,0500000US24037,"St. Mary's County, Maryland",lep_pct_spanish,31.3,10.2
42,0500000US24039,"Somerset County, Maryland",lep_pct_spanish,26.2,8.4
43,0500000US24041,"Talbot County, Maryland",lep_pct_spanish,47.6,7.9
44,0500000US24043,"Washington County, Maryland",lep_pct_spanish,41.1,5.5
45,0500000US24045,"Wicomico County, Maryland",lep_pct_spanish,33.7,7.6
46,0500000US24047,"Worcester County, Maryland",lep_pct_spanish,35.6,8.9
47,0500000US24510,"Baltimore city, Maryland",lep_pct_spanish,44.3,3.0
48,0500000US24001,"Allegany County, Maryland",lep_pct_spanish_65_plus,19.7,17.0
49,0500000US24003,"Anne Arundel County, Maryland",lep_pct_spanish_65_plus,28.9,8.0
50,0500000US24005,"Baltimore County, Maryland",lep_pct_spanish_65_plus,38.3,7.8
51,0500000US24009,"Calvert County, Maryland",lep_pct_spanish_65_plus,86.2,19.7
52,0500000US24011,"Caroline County, Maryland",lep_pct_spanish_65_plus,23.1,28.1
53,0500000US24013,"Carroll County, Maryland",lep_pct_spanish_65_plus,8.8,11.1
54,0500000US24015,"Cecil County, Maryland",lep_pct_spanish_65_plus,27.5,27.2
55,0500000US24017,"Charles County, Maryland",lep_pct_spanish_65_plus,47.1,21.3
56,0500000US24019,"Dorchester County, Maryland",lep_pct_spanish_65_plus,74.7,38.1
57,0500000US24021,"Frederick County, Maryland",lep_pct_spanish_65_plus,51.4,10.2
58,0500000US24023,"Garrett County, Maryland",lep_pct_spanish_65_plus,11.8,35.1
59,0500000US24025,"Harford County, Maryland",lep_pct_spanish_65_plus,28.0,10.1
60,0500000US24027,"Howard County, Maryland",lep_pct_spanish_65_plus,43.4,14.2
61,0500000US24029,"Kent County, Maryland",lep_pct_spanish_65_plus,8.8,15.6
62,0500000US24031,"Montgomery County, Maryland",lep_pct_spanish_65_plus,62.3,3.6
63,0500000US24033,"Prince George's County, Maryland",lep_pct_spanish_65_plus,65.3,5.1
64,0500000US24035,"Queen Anne's County, Maryland",lep_pct_spanish_65_plus,28.6,23.8
65,0500000US24037,"St. Mary's County, Maryland",lep_pct_spanish_65_plus,37.4,19.7
66,0500000US24039,"Somerset County, Maryland",lep_pct_spanish_65_plus,0.0,54.3
67,0500000US24041,"Talbot County, Maryland",lep_pct_spanish_65_plus,25.9,20.4
68,0500000US24043,"Washington County, Maryland",lep_pct_spanish_65_plus,67.2,15.1
69,0500000US24045,"Wicomico County, Maryland",lep_pct_spanish_65_plus,2.3,4.7
70,0500000US24047,"Worcester County, Maryland",lep_pct_spanish_65_plus,15.8,17.0
71,0500000US24510,"Baltimore city, Maryland",lep_pct_spanish_65_plus,48.8,11.0
72,0500000US24001,"Allegany County, Maryland",lep_pct_indo_euro,12.1,8.3
73,0500000US24003,"Anne Arundel County, Maryland",lep_pct_indo_euro,24.3,2.4
74,0500000US24005,"Baltimore County, Maryland",lep_pct_indo_euro,33.9,2.6
75,0500000US24009,"Calvert County, Maryland",lep_pct_indo_euro,15.8,7.5
76,0500000US24011,"Caroline County, Maryland",lep_pct_indo_euro,18.3,17.2
77,0500000US24013,"Carroll County, Maryland",lep_pct_indo_euro,17.9,5.8
78,0500000US24015,"Cecil County, Maryland",lep_pct_indo_euro,31.9,10.4
79,0500000US24017,"Charles County, Maryland",lep_pct_indo_euro,30.4,5.7
80,0500000US24019,"Dorchester County, Maryland",lep_pct_indo_euro,33.2,29.6
81,0500000US24021,"Frederick County, Maryland",lep_pct_indo_euro,21.6,3.3
82,0500000US24023,"Garrett County, Maryland",lep_pct_indo_euro,2.5,3.8
83,0500000US24025,"Harford County, Maryland",lep_pct_indo_euro,17.7,3.8
84,0500000US24027,"Howard County, Maryland",lep_pct_indo_euro,22.0,2.8
85,0500000US24029,"Kent County, Maryland",lep_pct_indo_euro,25.4,12.0
86,0500000US24031,"Montgomery County, Maryland",lep_pct_indo_euro,27.2,1.5
87,0500000US24033,"Prince George's County, Maryland",lep_pct_indo_euro,33.2,2.9
88,0500000US24035,"Queen Anne's County, Maryland",lep_pct_indo_euro,15.6,10.7
89,0500000US24037,"St. Mary's County, Maryland",lep_pct_indo_euro,38.1,15.2
90,0500000US24039,"Somerset County, Maryland",lep_pct_indo_euro,17.0,34.1
91,0500000US24041,"Talbot County, Maryland",lep_pct_indo_euro,38.5,16.8
92,0500000US24043,"Washington County, Maryland",lep_pct_indo_euro,27.6,8.7
93,0500000US24045,"Wicomico County, Maryland",lep_pct_indo_euro,60.1,8.0
