,Geography,Geographic Area Name,language,pct_65_plus,moe_pct_65_plus
0,0500000US24001,"Allegany County, Maryland",spanish_pct_65_plus,0.3,0.1
1,0500000US24003,"Anne Arundel County, Maryland",spanish_pct_65_plus,0.4,0.1
2,0500000US24005,"Baltimore County, Maryland",spanish_pct_65_plus,0.3,0.1
3,0500000US24009,"Calvert County, Maryland",spanish_pct_65_plus,0.1,0.1
4,0500000US24011,"Caroline County, Maryland",spanish_pct_65_plus,0.4,0.2
5,0500000US24013,"Carroll County, Maryland",spanish_pct_65_plus,0.2,0.1
6,0500000US24015,"Cecil County, Maryland",spanish_pct_65_plus,0.3,0.1
7,0500000US24017,"Charles County, Maryland",spanish_pct_65_plus,0.3,0.1
8,0500000US24019,"Dorchester County, Maryland",spanish_pct_65_plus,0.3,0.2
9,0500000US24021,"Frederick County, Maryland",spanish_pct_65_plus,0.6,0.1
10,0500000US24023,"Garrett County, Maryland",spanish_pct_65_plus,0.1,0.1
11,0500000US24025,"Harford County, Maryland",spanish_pct_65_plus,0.3,0.1
12,0500000US24027,"Howard County, Maryland",spanish_pct_65_plus,0.5,0.1
13,0500000US24029,"Kent County, Maryland",spanish_pct_65_plus,0.2,0.1
14,0500000US24031,"Montgomery County, Maryland",spanish_pct_65_plus,1.7,0.1
15,0500000US24033,"Prince George's County, Maryland",spanish_pct_65_plus,1.1,0.1
16,0500000US24035,"Queen Anne's County, Maryland",spanish_pct_65_plus,0.2,0.1
17,0500000US24037,"St. Mary's County, Maryland",spanish_pct_65_plus,0.2,0.1
18,0500000US24039,"Somerset County, Maryland",spanish_pct_65_plus,0.2,0.2
19,0500000US24041,"Talbot County, Maryland",spanish_pct_65_plus,0.4,0.2
20,0500000US24043,"Washington County, Maryland",spanish_pct_65_plus,0.4,0.1
21,0500000US24045,"Wicomico County, Maryland",spanish_pct_65_plus,0.5,0.3
22,0500000US24047,"Worcester County, Maryland",spanish_pct_65_plus,0.3,0.2
23,0500000US24510,"Baltimore city, Maryland",spanish_pct_65_plus,0.4,0.1
24,0500000US24001,"Allegany County, Maryland",indo_euro_pct_65_plus,0.2,0.1
25,0500000US24003,"Anne Arundel County, Maryland",indo_euro_pct_65_plus,0.5,0.1
26,0500000US24005,"Baltimore County, Maryland",indo_euro_pct_65_plus,0.9,0.1
27,0500000US24009,"Calvert County, Maryland",indo_euro_pct_65_plus,0.3,0.1
28,0500000US24011,"Caroline County, Maryland",indo_euro_pct_65_plus,0.2,0.1
29,0500000US24013,"Carroll County, Maryland",indo_euro_pct_65_plus,0.4,0.1
30,0500000US24015,"Cecil County, Maryland",indo_euro_pct_65_plus,0.3,0.1
31,0500000US24017,"Charles County, Maryland",indo_euro_pct_65_plus,0.3,0.1
32,0500000US24019,"Dorchester County, Maryland",indo_euro_pct_65_plus,0.6,0.5
33,0500000US24021,"Frederick County, Maryland",indo_euro_pct_65_plus,0.5,0.1
34,0500000US24023,"Garrett County, Maryland",indo_euro_pct_65_plus,0.5,0.3
35,0500000US24025,"Harford County, Maryland",indo_euro_pct_65_plus,0.7,0.2
