,Geographic Area Name,lep_pct_asian_pacific,lep_pct_asian_pacific_65_plus,lep_pct_indo_euro,lep_pct_indo_euro_65_plus,lep_pct_other,lep_pct_other_65_plus,lep_pct_over_5,lep_pct_spanish,lep_pct_spanish_65_plus
0,"Allegany County, Maryland",52.6,25.0,12.1,19.9,11.9,0.0,1.0,34.8,19.7
1,"Anne Arundel County, Maryland",39.9,55.7,24.3,29.6,12.9,17.3,4.5,37.6,28.9
2,"Baltimore County, Maryland",39.7,60.3,33.9,51.6,24.4,28.9,5.5,39.8,38.3
3,"Baltimore city, Maryland",38.1,66.2,26.9,36.7,31.4,26.0,4.5,44.3,48.8
4,"Calvert County, Maryland",37.4,60.3,15.8,40.8,15.7,40.5,1.5,27.6,86.2
5,"Caroline County, Maryland",55.6,0.0,18.3,13.3,3.5,100.0,4.4,58.2,23.1
6,"Carroll County, Maryland",37.9,58.3,17.9,33.1,20.4,13.2,1.9,32.4,8.8
7,"Cecil County, Maryland",39.6,31.3,31.9,49.8,43.2,60.5,2.3,29.0,27.5
8,"Charles County, Maryland",27.9,26.7,30.4,38.6,8.1,33.3,3.0,35.9,47.1
9,"Dorchester County, Maryland",62.3,76.7,33.2,47.3,0.0,0.0,2.7,46.9,74.7
10,"Frederick County, Maryland",34.9,51.7,21.6,36.3,23.1,57.6,5.6,37.1,51.4
11,"Garrett County, Maryland",14.2,0.0,2.5,6.1,,,0.4,30.8,11.8
12,"Harford County, Maryland",37.7,64.1,17.7,23.9,21.5,59.5,2.5,37.0,28.0
13,"Howard County, Maryland",37.0,66.4,22.0,39.2,18.4,34.5,8.8,39.6,43.4
14,"Kent County, Maryland",18.4,,25.4,52.0,6.7,,1.4,29.5,8.8
15,"Montgomery County, Maryland",41.6,64.4,27.2,39.2,25.8,31.9,15.8,43.4,62.3
16,"Prince George's County, Maryland",40.1,51.1,33.2,47.1,22.6,33.3,14.6,57.4,65.3
17,"Queen Anne's County, Maryland",44.8,25.2,15.6,21.0,12.2,0.0,2.1,44.2,28.6
18,"Somerset County, Maryland",0.0,,17.0,69.2,58.8,100.0,2.8,26.2,0.0
19,"St. Mary's County, Maryland",42.2,74.6,38.1,22.7,13.4,0.0,2.6,31.3,37.4
20,"Talbot County, Maryland",38.6,93.5,38.5,49.7,60.7,13.3,4.5,47.6,25.9
21,"Washington County, Maryland",37.8,22.0,27.6,17.8,10.8,0.0,3.3,41.1,67.2
22,"Wicomico County, Maryland",43.7,93.4,60.1,31.5,31.5,0.0,6.5,33.7,2.3
23,"Worcester County, Maryland",34.7,100.0,15.4,15.3,51.9,0.0,1.7,35.6,15.8
