,Current Name,Facility Street1,Facility City,Zip Code,Geographic Area Name
0,Allegany Health Nursing and Rehabilitation Cent,730 Furnace Street,Cumberland,21502,Allegany County
1,Cumberland Healthcare Center,512 Winifred Road,Cumberland,21502,Allegany County
2,"Egle Nursing Home Management, Inc.",57 Jackson Street,Lonaconing,21539,Allegany County
3,Lions Rehab Center,901 Seton Drive,Cumberland,21502,Allegany County
4,Frostburg Rehab Center,1 Kaylor Circle,Frostburg,21532,Allegany County
5,Moran Nursing & Rehabilitation Center,"25701 Shady Lane, S.W.",Westernport,21562,Allegany County
6,Devlin Manor Nursing and Rehabilitation,10301 Christie Road N.E.,Cumberland,21502,Allegany County
7,Mountain City Rehab Center,48 Tarn Terrace,Frostburg,21532,Allegany County
8,Ginger Cove,4000 River Crescent Drive,Annapolis,21401,Anne Arundel County
9,Complete Care at Annapolis,900 Van Buren Street,Annapolis,21403,Anne Arundel County
10,FutureCare- Chesapeake,305 College Parkway,Arnold,21012,Anne Arundel County
11,Crownsville Health Care,1454 Fairfield Loop Road,Crownsville,21032,Anne Arundel County
12,Genesis Hammonds Lane Center,613 Hammonds Lane,Brooklyn Park,21225,Baltimore city
13,Autumn Lake Healthcare at Waugh Chapel,1221 Waugh Chapel Road,Gambrills,21054,Anne Arundel County
14,Autumn Lake Healthcare at Crofton,2131 Davidsonville Road,Crofton,21114,Anne Arundel County
15,South River Healthcare Center,144 Washington Road,Edgewater,21037,Anne Arundel County
16,Autumn Lake Healthcare at Baltimore Washington,313 Hospital Drive,Glen Burnie,21061,Anne Arundel County
17,Autumn Lake Healthcare at Glen Burnie,"7355 Furnace Branch Road, East",Glen Burnie,21060,Anne Arundel County
18,Marley Neck Health and Rehabilitation Center,7575 East Howard Road,Glen Burnie,21060,Anne Arundel County
19,Complete Care at Severna Park,310 Genesis Way,Severna Park,21146,Anne Arundel County
20,Autumn Lake Healthcare at Spa Creek,35 Milkshake Lane,Annapolis,21403,Anne Arundel County
21,The Arbor,7101 Bay Front Drive,Annapolis,21403,Anne Arundel County
22,Pickersgill Retirement Community,615 Chestnut Avenue,Towson,21204,Baltimore County
23,Resorts of Augsburg,6811 Campfield Road,Baltimore,21207,Baltimore County
24,Rossville SNF Operations LLC,6600 Ridge Road,Baltimore,21237,Baltimore County
25,Chapel Hill Nursing Center,4511 Robosson Road,Randallstown,21133,Baltimore County
26,Orchard Hill Rehabilitation and Healthcare Cent,111 West Road,Towson,21204,Baltimore County
27,"Catonsville Healthcare, LLC",701 Edmondson Avenue,Catonsville,21228,Baltimore County
28,Holly Hill Healthcare Center,531 Stevenson Lane,Towson,21286,Baltimore County
29,Advanced Rehab at Autumn Lake Healthcare,515 Brightfield Road,Lutherville,21093,Baltimore County
30,Autumn Lake Healthcare at Catonsville,16 Fusting Avenue,Catonsville,21228,Baltimore County
31,Oakwood Care Center,1300 Windlass Drive,Baltimore,21220,Baltimore County
32,Little Sisters of the Poor/St.Martin''s Home fo,601 Maiden Choice Lane,Baltimore,21228,Baltimore County
33,Autumn Lake Healthcare at Towson,7001 N. Charles Street,Towson,21204,Baltimore County
34,Towson Rehabilitation and Healthcare Center,509 East Joppa Road,Towson,21286,Baltimore County
35,"Maryland Masonic Homes, Ltd",300 International Circle,Cockeysville,21030,Baltimore County
36,King David Nursing and Rehabilitation Center,4204 Old Milford Mill Road,Baltimore,21208,Baltimore County
