,language,"Speak English ""very well""","Speak English less than ""very well""",speaker_count_by_language
0,"Amharic, Somali, or other Afro-Asiatic languages",71.0,29.0,44299
1,Arabic,70.0,30.0,19491
2,Armenian,76.0,24.0,2174
3,Bengali,67.0,33.0,16169
4,"Chinese (incl. Mandarin, Cantonese)",52.0,48.0,74664
5,English,0.0,0.0,4624493
6,French (incl. Cajun),74.0,26.0,59893
7,German,89.0,11.0,15592
8,Greek,82.0,18.0,6089
9,Gujarati,80.0,20.0,10369
10,Haitian,72.0,28.0,16844
11,Hebrew,95.0,5.0,6160
12,Hindi,82.0,18.0,22610
13,Hmong,100.0,0.0,194
14,"Ilocano, Samoan, Hawaiian, or other Austronesian languages",60.0,40.0,8585
15,Italian,78.0,22.0,7754
16,Japanese,58.0,42.0,7103
17,Khmer,43.0,57.0,1802
18,Korean,55.0,45.0,35309
19,"Malayalam, Kannada, or other Dravidian languages",83.0,17.0,3946
20,Navajo,0.0,0.0,0
21,"Nepali, Marathi, or other Indic languages",75.0,25.0,12872
22,Other Indo-European languages,65.0,35.0,12707
23,Other Native languages of North America,84.0,16.0,733
24,Other and unspecified languages,70.0,30.0,17228
25,Other languages of Asia,62.0,38.0,12096
26,"Persian (incl. Farsi, Dari)",64.0,36.0,16666
27,Polish,72.0,28.0,3795
28,Portuguese,62.0,38.0,16069
29,Punjabi,79.0,21.0,5965
30,Russian,63.0,37.0,19214
31,Serbo-Croatian,51.0,49.0,2049
32,Spanish,53.0,47.0,597081
33,"Swahili or other languages of Central, Eastern, and Southern Africa",78.0,22.0,13650
34,Tagalog (incl. Filipino),70.0,30.0,44915
35,Tamil,87.0,13.0,9049
36,Telugu,89.0,11.0,11834
37,"Thai, Lao, or other Tai-Kadai languages",62.0,38.0,3879
38,Ukrainian or other Slavic languages,72.0,28.0,8531
39,Urdu,62.0,38.0,19812
40,Vietnamese,51.0,49.0,20780
41,"Yiddish, Pennsylvania Dutch or other West Germanic languages",84.0,16.0,4503
42,"Yoruba, Twi, Igbo, or other languages of Western Africa",84.0,16.0,75279
